"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","Test001","SUCCESS","2023-01-02T00:22:45.362Z[Europe/London]","0.0","5.02"
"User CRUD test","Test002","SUCCESS","2023-01-02T00:22:50.404Z[Europe/London]","0.0","1.3"
